# ArrayNum  Gain   Offset  FWHM(1332)  Res%(1332)
       16  1.313625  1.531086     2.811770   0.211094
       17  1.346635  2.613356     2.716916   0.203973
       18  1.286268  2.379010     2.748431   0.206339
       19  1.287601 -0.241587     2.687316   0.201750
       20  1.314657  0.899976     3.149148   0.236423
       21  1.292860  2.155217     3.181276   0.238835
       22  1.382226 -0.042559     3.187334   0.239289
       23  1.354802  3.909386     3.235171   0.242881
       24  1.331327  0.594178     2.867807   0.215301
       25  1.424700  5.873557     3.078612   0.231127
       26  1.295185 -3.759398     2.990011   0.224475
       27  1.328514 -0.526733     2.966117   0.222681
       28  1.280889  0.797236     2.726171   0.204667
       29  1.366589  0.621932     2.756983   0.206981
       30  1.346672 -2.920411     2.739219   0.205647
       31  1.234466  1.072696     3.155755   0.236919
       32  1.295000  2.602150     2.613873   0.196237
       33  1.289892  0.437918     2.938943   0.220641
       34  1.324126 -0.798902     4.106638   0.308306
       35  1.290703  2.167991     2.949473   0.221432
       36  1.314831 -0.703636     2.681064   0.201281
       37  1.294899 -0.340081     2.730633   0.205002
       38  1.705189 -1.696264     3.048051   0.228833
       39  1.274609 -0.088349     2.684149   0.201513
       40  1.268515  0.035568     2.961589   0.222342
       41  1.264479  0.062121     2.688396   0.201832
       42  1.313770  2.298100     2.715176   0.203842
       43  1.280361 -0.316392     2.787739   0.209290
       44  1.343267 -1.680601     2.786528   0.209199
       45  1.320806 -1.187238     2.789408   0.209415
       46  1.089252  0.658213     2.807298   0.210758
       47  1.319391  4.508936     2.767300   0.207755
       48  1.278811  1.937588     2.762150   0.207369
       49  1.310805  0.067825     2.695739   0.202383
       50  1.342967  1.808922     2.678075   0.201057
       51  1.319310  1.777198     2.696102   0.202410
       52  1.311428  0.741167     2.625250   0.197091
       53  1.302437  1.423809     2.790981   0.209533
       54  1.317482 -0.697332     2.744832   0.206068
       55  1.340453 -0.129166     2.980646   0.223772
       56  1.357829  2.784968     2.893057   0.217196
       57  1.395418  0.972435     2.740175   0.205719
       58  1.391049  0.693663     2.851250   0.214058
       59  1.363817 -2.127780     2.841118   0.213297
       60  1.360671  1.285852     2.963695   0.222500
       61  1.345363 -1.211455     2.694243   0.202270
       62  1.376884 -1.653916     2.911272   0.218564
       63  1.378134 -0.498839     2.758455   0.207091
